dataset,cutting
expname,isg,freq_ratio,ist_step,PSNR,SSIM,LPIPS
endo_hybrid_maskIS_1_300,True,1,300,35.788997650146484,0.9370914101600647,0.06785453855991364
endo_hybrid_maskIS_1_1000,True,1,1000,35.87286376953125,0.9383090138435364,0.06449075788259506
endo_hybrid_maskIS_1_500_10,True,10,500,35.71698760986328,0.9366886019706726,0.06837999820709229
endo_hybrid_maskIS_1_1500,True,1,1500,35.74342346191406,0.9372127652168274,0.06755169481039047
endo_hybrid_maskIS_1_100,True,1,100,35.77970504760742,0.9373309016227722,0.0662894994020462
endo_hybrid_maskIS_1_500_1000,True,1000,500,35.77639389038086,0.9364933967590332,0.06913302838802338
endo_hybrid_maskIS_1_2000,True,1,2000,35.7293815612793,0.9371421337127686,0.06704259663820267
endo_hybrid_maskIS_1_500_50,True,50,500,35.674198150634766,0.9363974928855896,0.06937028467655182
endo_hybrid_maskIS_1_500,True,1,500,35.744537353515625,0.9371163845062256,0.0677827000617981
endo_hybrid_maskIS_1_500_100,True,100,500,35.72336959838867,0.9370144605636597,0.06828225404024124
endo_hybrid_direct_mask,False,,-1,35.30885314941406,0.9353362321853638,0.08033435791730881
